"Source of information [ENTER MULTIPLE CODES IF APPLICABLE] 1=Editor&Publisher, 2=Cision, 3=LION, 4=INN, 5=CCM, 6=BIA/Kelsey, 10=Manual search, 11=Lib of Congress (DON'T USE), 12=OnlineNewspaperDirectory, 13=MichelesList, 14=Mondotimes, 15=ABYZ, 16=NAM, 17=NatlNewspaperAssoc, 18=Other, 19 = NJPA",Name of outlet or organization,"Coverage area (9=not applicable, e.g. 5 or more counties",Munis covered (clean for Zev) 9=coverage area not clear or too diffuse,"Municipality ""character"" code; 6 = even mix of characteristics; 9 = n/a (from Nj State Police 2016 Uniform Crime Report: https://www.njsp.org/ucr/2016/index.shtml, section 7)",Outlet/org URL (homepage) (9=no website),"FREQUENCY 1=daily, 2=weekly, 3=biweekly, 4=monthly, 5=bimonthly, 6=regularly (but not daily), 7=irregularly, 8 annually","Original medium 1=Newspaper 2=Television 3=Radio 4=Online, 5=Magazine",Outlet/org owner (9=Don't know or N/A),"Outlet's language of publication 1=English, 2=Spanish, 3=Arabic, 4=Hindi or other language of India, 5=Mandarin or Cantonese, 6=Other, 7=Multilingual, 8=Tagalog or other Filipino language 9=Don't know/NA, 10=Korean, 11=Polish, 12=Ukranian","Does this outlet serve an ethnic community? 1=yes, 2=no","Is this outlet public media? (1=yes, 2=no)","(for Philly and NYC outlets) Does this outlet serve NJ? (1=yes, 2=no, 9=N/A)",Notes,Other potential variables: staff size,other variable: is the outlet hyperlocal? Y/N
"5, 2, 1",Elmer Times,"Borough of Elmer (Rural), Pittsgrove Township (Rural), and Upper Pittsgrove Township (Rural)","Elmer Borough, Pittsgrove Township, Upper Pittsgrove Township",Rural,9,2,1,Independently owned,1,2,2,9,http://www.elmerboroughnj.com/ElmerTimes.html,,
18,Englewood Voice,"Englewood (Urban), Alpine (Suburban), Englewood Cliffs (Urban) & Tenafly (Urban)","Englewood, Alpine, Englewood Cliffs, Tenafly",Urban,https://dailyvoice.com/new-jersey/englewood,1,4,Cantata Media (Jerry DeMarco),1,2,2,9,"daily content, but hard to know if it is daily content for each specific community served by this parent co. ",,
"16, 2","Epoch Times, The",9,9,9,https://www.theepochtimes.com/,1,1,"The Epoch Times Association, Inc.",7,1,2,1,,,
1,"equinox, the",Teaneck,Teaneck,Urban,https://fduequinox.wordpress.com/,2,1,Fairleigh Dickinson University,1,2,2,9,FDU student newspaper,,
"18, 19",Essex News Daily,"Essex County/Urban (13), Suburban (9) ",Essex County,Urban,https://essexnewsdaily.com/,1,1,"Worrall Community Newspapers, Inc.",,2,2,9,,,
"18, 15, 2",Ewing Observer,Ewing,Ewing,Suburban,https://communitynews.org/ewing-observer/,4,1,"Community News Service, LLC",1,2,2,9,"Websites are all under communitynews.org, but printed papers go out monthly",,
"5, 15, 19, 2, 1, 12",Examiner,"Allentown (Rural), Clarksburg (Rural), Cream Ridge (Rural), Millstone (Rural), Perrineville  (Rural)   ","Allentown, Clarksburg, Cream Ridge, Millstone, Perrineville",Rural,http://www.centraljersey.com/news/examiner/,6,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"18, 2",Fair Lawn-Glen Rock Daily Voice,"Fair Lawn (Urban), Glen Rock (Urban)","Fair Lawn, Glen Rock",Urban,https://dailyvoice.com/new-jersey/fairlawn,6,4,Cantata Media (Jerry DeMarco),1,2,2,9,"daily content, but hard to know if it is daily content for each specific community served by this parent co. ",,
2,Fanwood Post,Fanwood,Fanwood,Urban,https://rennamedia.com/publications/fanwood-post/,4,1,Renna Media,1,2,2,9,,,
16,"FilAm, The",9,9,9,http://thefilam.net,1,4,Independently owned,1,1,2,9,,,
"5, 15, 19, 1, 16, 2","Filipino Express, The",9,9,9,http://www.filipinoexpress.com,1,4,Independently owned (Lito Gajilan),1,1,2,9,,,
"16, 2","Filipino Reporter, The",9,9,9,9,2,1,Independently owned,1,1,2,1,,,
"17, 5, 15, 19, 2, 1, 12",Florham Park Eagle,Florham Park,Florham Park,Suburban,http://www.newjerseyhills.com/florham_park_eagle/,1,1,New Jersey Hills Media Group,1,2,2,9,,,
"18, 2",Fort Lee Daily Voice,"Fort Lee (Urban)  , Leonia (Urban), & Palisades (Urban)","Fort Lee, Leonia, Palisades",Urban,https://dailyvoice.com/new-jersey/fortlee,6,4,Cantata Media (Jerry DeMarco),1,2,2,9,"daily content, but hard to know if it is daily content for each specific community served by this parent co. ",,
"1, 16, 2",Forward,9,9,9,https://forward.com/,2,1,Independently owned,1,1,2,1,,,
"5, 13, 2",Franklin Reporter & Advocate,Franklin Township,Franklin Township,Rural,http://www.franklinreporter.com/,2,1,"Independently owned (Franklin Reporter & Advocate, LLC)",1,2,2,9,,,
18,Front Runner New Jersey,9,9,9,https://frontrunnernewjersey.com/,6,4,"Independently owned (AC JosepH Media, LLC)",1,1,2,2,,,
"18, 2",Garfield-Lodi Daily Voice,"Garfield (Urban) , Lodi (Urban)","Garfield, Lodi",Urban,https://dailyvoice.com/new-jersey/garfield,6,4,Cantata Media (Jerry DeMarco),1,2,2,9,"daily content, but hard to know if it is daily content for each specific community served by this parent co. ",,
2,Garwood Times,Garwood,Garwood,Urban,https://rennamedia.com/publications/garwood-times/,4,1,Renna Media,1,2,2,9,,,
"5, 15, 19","Gazette Newspaper, The","Carlstadt (Urban) , East Rutherford (Urban), Hasbrouck Heights (Urban), Little Ferry (Urban) , Lodi (Urban), Moonachie (Urban), Rutherford (Urban), South Hackensack  (Urban) , Teterboro (Urban), Wallington (Urban),Wood-Ridge (Urban)","Carlstadt, East Rutherford, Hasbrouck Heights, Little Ferry, Lodi, Moonachie, Rutherford, South Hackensack, Teterboro, Wallington, Wood-Ridge",Urban,http://www.the-gazette-newspaper.com/,4,1,Independently owned,1,2,2,9,website links to pdfs w archive,,
"15, 1","Gleaner, The",Camden,Camden,Urban,9,4,1,Rutgers,1,2,9,9,https://rulinked.camden.rutgers.edu/organization/thegleaner,,
"5, 15, 19, 1, 2",Glen Ridge Voice,Glen Ridge,Glen Ridge,Urban,9,2,1,Gannett,1,2,2,9,acquired by Gannett; see http://glenridgevoice.newspaperdirect.com/epaper/viewer.aspx,,
"5, 15, 19, 1, 2",Glen Rock Gazette,Glen Rock,Glen Rock,Urban,9,2,1,Gannett ,1,2,2,9,,,
5,Glen Rock News Today,Glen Rock,Glen Rock,Urban,http://glenrocknews.today/,6,4,Independently owned,1,2,2,9,,,
16,Global Chinese Times,9,9,9,9,2,1,"Global Chinese Times, Inc.",5,1,2,9,,,
"1, 2",Gloucester City News,"Gloucester City (Urban), Brooklawn (Urban), Bellmawr (Suburban), Mt. Ephraim (Urban), Westville (Urban), and Runnemede (Suburban)","Gloucester City, Brooklawn, Bellmawr, Mount Ephraim, Westville, Runnemede",Urban,9,2,1,Independently owned,1,1,2,9,https://gloucestercitynews.org/about/,,
5,Gloucester Township News,Gloucester Township,Gloucester Township,Suburban,http://gloucestertownshipnews.com,4,4,9,1,2,2,9,,,
"5, 2, 1","Gothic Times, The",New Jersey City University (West Bergen),West Bergen,Urban,https://gothictimes.net/,4,1,New Jersey City University,1,1,2,9,,,
2,Green Brook Gazette,Green Brook Township,Green Brook Township,Suburban,https://rennamedia.com/publications/green-brook-gazette/,4,1,Renna Media,1,2,2,9,,,
16,Gujarat Darpan,9,9,9,http://gujaratdarpan.com,4,1,Independently owned,"7 (4, 1)",1,2,9,,,
16,Gujarat Samachar,9,9,9,https://www.gujaratsamachar.com,2,1,Lok Prakashan Ltd,"7 (4, 1)",1,2,9,,,
"16, 2",Gujarat Times,9,9,9,http://gujarattimesusa.com,2,1,"Parikh Worldwide Media, LLC","7 (4, 1)",1,2,9,,,
"5, 15, 2, 1",Hackensack Chronicle,Hackensack,Hackensack,Urban,9,2,1,Gannett,1,2,2,9,acquired by Gannett; see http://johnsonpl.northjersey.com/epaper/viewer.aspx?newspaper=hackensack+chronicle&cid=7717&google=1,,
"18, 2",Hackensack Daily Voice,"Hackensack (Urban), Maywood (Urban), Rochelle Park (Urban), South Hackensack (Urban)","Hackensack, Maywood, Rochelle Park, South Hackensack",Urban,https://dailyvoice.com/new-jersey/hackensack,6,4,Cantata Media (Jerry DeMarco),1,2,2,9,"daily content, but hard to know if it is daily content for each specific community served by this parent co. ",,
2,Hackettstown News/Hackettstown Life,Hackettstown,Hackettstown,Rural,https://www.mypaperonline.com/category/the-hackettstown-news#,4,1,Maljon LLC (New View Media Group LLC)LLC,11,2,2,9,,,
"15, 2, 1","Haddonfield Sun, The",Haddonfield,Haddonfield,Urban,https://haddonfieldsun.com/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"15, 2, 1",Hamilton Post,Hamilton,Hamilton,Suburban,https://communitynews.org/hamilton-post/,4,1,"Community News Service, LLC",1,2,2,9,"Websites are all under communitynews.org, but printed papers go out monthly",,
"5, 15, 2, 12","Hammonton Gazette, The",Hammonton,Hammonton,Rural,http://www.hammontongazette.com/,2,1,Independently owned,1,2,2,9,,,
"17, 5, 2, 15, 19, 1, 12",Hanover Eagle,"Hanover Township (Suburban) , East Hanover Township (Suburban)","Hanover Township, East Hanover Township",Suburban,http://www.newjerseyhills.com/hanover_eagle/,1,1,New Jersey Hills Media Group,1,2,2,9,,,
2,Hanover News/Hanover Life,Hanover ,Hanover ,Suburban,https://www.mypaperonline.com/category/hanover-news,4,1,Maljon LLC (New View Media Group LLC)LLC,1,2,2,9,,,
2,Hawthorne Press,"Hawthorne (Urban), Haledon (Urban), North Haledon (Urban), Prospect Park (Urban)","Hawthorne, Haledon, North Haledon, Prospect Park",Urban,9,2,1,Independently owned,1,2,2,9,(same as North Haledon News),,
"1, 2",Hellenic News of America,9,9,9,https://hellenicnews.com/,2,4,"Independent Owner (Paul Kotrotsios, MBA and Aphrodite Kotrotsios, MS) ",7 (Greek and English),1,2,1,Greek and English,,
18,Highland Park Planet,Highland Park,Highland Park,Urban,http://www.highlandparkplanet.org/,2,4,Independently owned,1,2,2,9,,,
"5, 15, 2, 19, 1, 12",Hillsborough Beacon,"Hillsborough (Suburban), Manville (Urban)","Hillsborough, Manville",6,https://centraljersey.com/hillsborough-beacon/,1,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,"the urls in red were changed after the IA scrape; need to manually scrape those (go back and change all of the centraljersey.com ones above; I don't think I put those in red); also the philly inquirer, the login info didn't take for the scrape",,
"5, 13, 2",Hoboken 411,Hoboken,Hoboken,Urban,http://hoboken411.com/,1,4,Independently owned,1,2,2,9,,,
5,HobokenRealEstateNews.com,Hoboken,Hoboken,Urban,http://hobokenrealestatenews.com,2,4,Independently owned,1,2,2,9,,,
"5, 15, 19, 2, 1",Home News Tribune,East Brunswick,East Brunswick,Suburban,9,2,1,Gannett,1,2,2,9,https://offers.mycentraljersey.com/specialoffer/?gps-source=CPNAVBARBBB&utm_medium=ONSITE&utm_campaign=2019SUMFUN&utm_content=CPNAVBARBBB&utm_source=CPNAVBARBBB&onSuccessRedirectURL=https%3A%2F%2Fwww.mycentraljersey.com%2Fnews%2Fhome-news-tribune%2F,,
2,"HomeTown Life- Lincoln Park, Pequuanock, Pompton Plains","Lincoln Park (Suburban), Peqaunnock (Suburban), Pompton Plains (Suburban)","Lincoln Park, Peqaunnock, Pompton Plains",Suburban,https://www.mypaperonline.com/category/hometown-lincoln-park-pequuanock-pompton-plains,4,1,Maljon LLC (New View Media Group LLC)LLC,1,2,2,9,,,
5,HomeTowne TV (HTTV),"Summit (Urban), Short Hills (Suburban)","Summit, Short Hills",6,http://hometownetv.org/,1,2,9,1,2,1,9,"local cable, partially funded by municipal govt",,
"18, 2",Hopewell Express,Hopewell Valley,Hopewell Valley,Rural,https://communitynews.org/hopewell-express/,4,1,"Community News Service, LLC",1,2,2,9,"Websites are all under communitynews.org, but printed papers go out monthly",,
"5, 15, 2, 19, 1, 12",Hopewell Valley News,"Pennington (Suburban), Hopewell (Rural), Titusville (Rural)      ","Pennington, Hopewell, Titusville",Rural,http://www.centraljersey.com/news/hopewell_valley_news/,6,4,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"2, 12, 15","Howell Times, The",Howell,Howell,Suburban,https://www.jerseyshoreonline.com/thehowelltimes/,2,1,Micromedia Publications,1,2,2,9,see https://issuu.com/micromediapubs/stacks,,
2,Hudson County View,"Jersey City (Urban), Bayonne (Urban), Hoboken (Urban), Weehawken (Urban), North Bergen (Urban), Guttenberg (Urban), Union City (Urban), Secaucus (Urban)","Jersey City, Bayonne, Hoboken, Weehawken, North Bergen, Guttenberg, Union City, Secaucus",Urban,https://hudsoncountyview.com/,1,4,Independently owned,1,2,2,9,,,
5,"Hudson Mile Square View, The",Hoboken,Hoboken,Urban,http://www.hobokenhorse.com/,1,4,Independently owned,1,2,2,9,,,
"5, 15, 2, 12",Hudson Reporter.com,Hudson County/ Urban (12),Hudson County,Urban,http://www.hudsonreporter.com,2,4,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"5, 15, 2, 19, 1, 12",Hunterdon County Democrat,"Hunterdon County/ Urban (1), Suburban (1), Rural (24)",Hunterdon County,Rural,http://www.nj.com/hunterdon-county-democrat/,2,1,Advance,1,2,2,9,now NJ.com,,
2,"Hunterdon County News, The","Hunterdon County/ Urban (1), Suburban (1), Rural (24)",Hunterdon County,Rural,https://thehunterdoncountynews.com/,1,4,Independently owned,1,2,2,9,,,
"17, 5, 15, 2, 19, 1, 12",Hunterdon Review,"Califon (Rural), Clinton (Rural), Clinton Township (Rural), Glen Gardner (Rural), High Bridge (Rural), Lebanon (Rural), Lebanon Township (Rural), Readington Township (Rural), Tewksbury Township (Rural)","Califon, Clinton, Clinton Township, Glen Gardner, High Bridge, Lebanon borough, Lebanon Township, Readington Township, Tewksbury Township",Rural,http://www.newjerseyhills.com/hunterdon_review/,2,1,New Jersey Hills Media Group,1,2,2,9,,,
16,ICN radio,9,9,9,http://www.icnradio.com/,1,3,Independently owned,"7 (1, 6 (Italian))",1,2,9,,,
"15, 2",Impacto,9,9,9,9,4,5,9,2,1,2,1,,,
"5, 2, 1, 15",Independent,"Belford (Suburban), Hazlet (Suburban), Holmdel (Suburban), Keyport (Suburban), Lincroft (Suburban), Matawan (Suburban), Aberdeen (Suburban), Middletown (Suburban), Red Bank (Urban)      ","Belford, Hazlet, Holmdel, Keyport, Lincroft, Matawan, Aberdeen, Middletown, Red Bank", Suburban,http://www.centraljersey.com/news/independent/,6,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"2, 5",Independent Press of Bloomfield,Bloomfield,Bloomfield,Urban,9,4,1,"Worrall Community Newspapers, Inc.",1,2,9,9,Contacted Worrall and this is an e-paper that publishes monthly and has only a defunct FB page as a web presence; https://essexnewsdaily.com/,,
"16, 2",India Abroad,9,9,9,https://www.indiaabroad.com,2,1,8K Miles Media Group,1,1,2,9,,,
2,Insider NJ,9,9,9,https://www.insidernj.com/,1,4,Independently owned,1,2,2,9,,,
16,"Irish Echo, The",9,9,9,https://www.irishecho.com,2,1,Belfast Media Group,1,1,2,1,,,
1,Irish Edition, Pitman (Suburban) and Hamilton Square (Suburban),"Pitman, Hamilton Square",Suburban,http://www.irishedition.com/,4,1,Independently owned,1,1,2,1,,,
"16, 2",IrishCentral.,9,9,9,https://www.irishcentral.com/,1,4,Independently owned (Irish Central LLC),1,1,2,1,(formerly Irish Voice),,
"5, 1, 16, 2","Italian Tribune, The",9,9,9,http://www.italiantribune.com/,2,1,Independently owned,1,1,2,9,,,
"2, 11","Italian Voice, The",Paterson,Paterson,Urban,9,2,1,Independently owned (Emilio Augusto Pub. Co.),6 (Italian),1,2,9,https://en.wikipedia.org/wiki/Italian_Voice,,
"5, 15, 19, 1, 2","Item of Millburn and Short Hills, The","Milburn (Suburban), Short Hills (Suburban)","Millburn, Short Hills",Suburban,9,2,1,Gannett,1,2,2,9,bought by Gannett,,
"2, 12, 18","Jackson Times, The",Jackson,Jackson,Suburban,https://www.jerseyshoreonline.com/thejacksontimes/,2,1,Micromedia Publications,1,2,2,9,,,
5,Jersey Access Group: Asbury Park City,Asbury Park,Asbury Park,Urban,9,1,2,Municipal ownership,1,2,1,9,they're each individual outlets that get money from the municipalities; PEG outlets; http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Bloomfield Township,Bloomfield,Bloomfield,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Bridgwater-Raritan HS,"Bridgewater (Suburban), Raritan (Suburban)","Bridgewater, Raritan",Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Brookdale Community College,Brookdale,Brookdale,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Carteret Borough,Carteret,Carteret,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Chatham Township,Chatham,Chatham,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: City of Newark,Newark,Newark,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Clifton City,Clifton,Clifton,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Cranford Township,Cranford,Cranford,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: East Brunswick Township,East Brunswick,East Brunswick,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Edison Board of Education,Edison,Edison,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Edison Township,Edison,Edison,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Essex County College,Newark,Newark,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Fair Lawn Borough,Fair Lawn,Fair Lawn,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Galloway Township,Galloway,Galloway,Rural,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Glen Ridge Borough,Glen Ridge,Glen Ridge,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Highland Park Borough,Highland Park,Highland Park,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Hopewell Township,Hopewell,Hopewell,Rural,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Hopewell Valley Reg. Schools,Hopewell,Hopewell,Rural,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Howell Township,Howell,Howell,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Jersey City Schools,Jersey City,Jersey City,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Long Branch City,Long Branch,Long Branch,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Long Hill Township,Long Hill,Long Hill,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Mahwah Township,Mahwah,Mahwah,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Manalapan Township,Manalapan,Manalapan,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Manasquan School District,Manasquan,Manasquan,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Mendahm Township,Mendham,Mendham,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Metuchen Borough,Metuchen,Metuchen,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Millburn Township,Millburn,Millburn,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Montclair Township,Montclair,Montclair,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: New Providence Borough,New Providence,New Providence,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: North Brunswick Township,New Brunswick,New Brunswick,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: North Burlington School District, Burlington,Burlington,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Oakland Borough,Oakland,Oakland,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Old Bridge Schools,Old Bridge ,Old Bridge ,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Old Bridge Township,Old Bridge,Old Bridge,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Oradell Borough,Oradell,Oradell,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Perth Amboy School District,Perth Amboy,Perth Amboy,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Piscataway Township,Piscataway,Piscataway,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Plainfield City,Plainfield,Plainfield,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Princeton Borough,Princeton,Princeton,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Ramsey,Ramsey,Ramsey,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Ringwood Borough,Ringwood,Ringwood,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Rutgers University,New Brunswick,New Brunswick,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Scotch Plains Township,Scotch Plains,Scotch Plains,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Somerville Borough,Somerville,Somerville,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: South Brunswick Township,South Brunswick,South Brunswick,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: South Orange Village Township,South Orange,South Orange,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: South Plainfield Public Schools,South Plainfield,South Plainfield,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: South River Borough,South River,South River,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Stockton University,Galloway,Galloway,Rural,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Summit/Hometown TV,Summit,Summit,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Ventnor City,Ventnor,Ventnor,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Verona Township,Verona,Verona,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Warren Township,Warren,Warren,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Washington Township Public Schools,Washington,Washington,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Westfield Township,Westfield,Westfield,Suburban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Woodbridge Board of Education,Woodbridge,Woodbridge,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
5,Jersey Access Group: Woodbridge Township,Woodbridge,Woodbridge,Urban,9,1,2,Municipal ownership,1,2,1,9,http://jagonline.org/?page_id=507,,
18,Jersey City Magazine,Jersey City,Jersey City,Urban,9,5,5,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
2,Jersey Insider,"Montclair (Urban), Clifton (Urban)","Montclair, Clifton",Urban,9,4,1,Independently owned,1,2,2,9,http://insidernewsnj.com,,
"5, 15, 19, 2, 1, 11, 12",Jersey Journal,Jersey City,Jersey City,Urban,9,1,1,NJ Advance Media,1,2,2,9,https://subscribe.nj.com/?SiteCode=JJ,,
"5, 13",Jersey Shore Hurricane News,9,9,9,https://www.facebook.com/JerseyShoreHurricaneNews,1,4,Independently owned,1,2,2,9,,,
"18, 12, 2",Jersey Shore Online,9,9,9,https://www.jerseyshoreonline.com/,1,1,Micromedia Publications,1,2,2,9,they also publish 7 weekly newspapers in Ocean and Monmouth,,
"5, 13","Jersey Tomato Press, The","Montclair (Urban) , Caldwell (Urban)","Montclair, Caldwell ",Urban,http://thejerseytomatopress.com/,1,4,Independently owned,1,2,2,9,,,
5,JerseyVoices.com,9,9,9,http://www.jerseyvoices.com,7,4,Independently owned,1,1,2,9,,,
"15, 2, 1, 16",Jewish Community Voice,"Camden/ Urban (14), Suburban (21), Rural (2), Burlington/ Urban (10), Suburban (12), Rural (17) , and Gloucester/ Urban (2), Suburban (14), Rural (13) counties","Camden County, Burlington County, Gloucester County",Suburban,http://www.jewishvoicesnj.org/,3,1,Independently owned (Jewish Community Voice),1,1,2,9,,,
"16, 2",Jewish Exponent,9,9,9,http://jewishexponent.com,5,1,Jewish Publishing Group,1,1,2,1,,,
"16, 1",Jewish Journal - Ocean County,9,9,9,9,4,1,Jewish Federation of Ocean County,1,1,2,9,http://www.ocjj.net/,,
"2, 16",Jewish Link NJ,9,9,9,https://www.jewishlinknj.com/,2,1,Independently owned,1,1,2,9,,,
"2, 1, 16",Jewish Standard,"Bergen/ Urban (46), Suburban (20), Rural (0), Hudson/ Urban (12), Suburban (0), Rural (0), Passaic/ Urban (11), Suburban (5), Rural (0)","Bergen County, Hudson County, Passaic County",Urban,http://jewishstandard.timesofisrael.com/,6,1,Independently owned,1,1,2,9,,,
"15, 1, 16, 2","Jewish Voice and Opinion, The",9,9,9,https://thejewishvoiceandopinion.com/,4,1,Independently owned (David Ben Hooren),1,1,2,9,,,
5,JTown,Jackson,Jackson,Sububran,9,6,5,"Stilton Company, LLC",1,2,2,9,https://issuu.com/philstilton,,
2,Kenilworth Business Life,Kenilworth,Kenilworth,Suburban,https://rennamedia.com/publications/life-in-kenilworth/,4,1,Renna Media,1,2,2,9,,,
"16, 2",Korea Daily,9,9,9,http://www.koreadailyus.com/,2,1,"Joongang Media Network, USA","7 (10, 1)",1,2,1,,,
"16, 2","Korea Times, The",9,9,9,http://www.koreatimesus.com,1,1,Independently owned (Korea Times Media Group),10,1,2,1,,,
"2, 16",Korean Bergen News,9,9,9,9,2,1,Korean Business Network,1,1,2,9,,,
